AadhaarNo,Name,Age,Address,Email,PhoneNo,City,State,Devices,AssignedIPs,ISP,IsSuspicious,SuspiciousType,HomeLocation,UsualActiveHours
110761506692,Rayaan Dhar,58,"H.No. 324, Goswami Marg, Pune, Maharashtra - 816607",rayaan.dhar546@yahoo.in,8891174024,Pune,Maharashtra,865856032383104|356944106667849,192.168.1.209|192.168.1.23|192.168.1.101|192.168.1.45,BSNL,False,,"19.920826,77.050762",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
186858349850,Pallavi Soman,75,"41/726, Tank Marg, Hyderabad, Telangana - 132221",pallavi.soman889@yahoo.in,8112094691,Hyderabad,Telangana,358495099993781|358755077360273,192.168.1.24|192.168.1.13|192.168.1.184|192.168.1.142,BSNL,False,,"19.775838,76.959613",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
245375705299,Hritik Sagar,24,"60/70, Sathe, Bangalore, Karnataka - 251942",hritik.sagar22@gmail.com,8650175825,Bangalore,Karnataka,353281085287923|356944107452431|353281085485265|352267119434252|358495091528165,49.207.43.28|49.207.181.109,Airtel,True,large_transfers|device_cloning,"12.920145,77.510931",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
340504295636,Lavanya Sawhney,42,"65/507, Chaudhary Marg, Mumbai, Maharashtra - 404785",lavanya.sawhney262@gmail.com,6524668447,Mumbai,Maharashtra,865856039521670,103.21.111.1|103.21.21.131|103.21.26.211|103.21.118.248|103.21.85.172,Vi,False,,"18.797488,73.285175",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
038718479482,Henry Borra,21,"56/32, Kalla Ganj, Delhi, Delhi - 527054",henry.borra805@yahoo.in,8581185504,Delhi,Delhi,865856032358289,106.51.5.213|106.51.253.166|106.51.23.84|106.51.61.142|117.97.14.178,Vi,False,,"28.687371,77.451384",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
256910246177,Saanvi Kapur,72,"H.No. 71, Walla, Ahmedabad, Gujarat - 231610",saanvi.kapur335@yahoo.in,9067575152,Ahmedabad,Gujarat,352267117667421,192.168.1.136|192.168.1.141|192.168.1.175,Vi,False,,"20.009908,77.049942",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
234769488730,Tristan Kari,56,"93, Loyal Ganj, Pune, Maharashtra - 928681",tristan.kari389@gmail.com,7729385078,Pune,Maharashtra,356944101778445,192.168.1.35|192.168.1.175|192.168.1.170|192.168.1.94,Jio,False,,"19.508427,76.970469",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
833016275859,Liam Saraf,48,"H.No. 73, Bera Circle, Hyderabad, Telangana - 170831",liam.saraf542@yahoo.in,9404023997,Hyderabad,Telangana,358495092311269,192.168.1.249|192.168.1.195,Vi,False,,"19.85748,76.933904",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
641526266656,Dhruv Virk,56,"01/329, Dube Marg, Delhi, Delhi - 762477",dhruv.virk747@gmail.com,6309979919,Delhi,Delhi,865856035833472|353281086462630,117.97.134.251|106.51.235.126|117.97.154.168|106.51.80.207|117.97.125.45,Vi,False,,"28.50491,76.959704",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
016984948190,Manan Palan,24,"226, Kant Ganj, Chennai, Tamil Nadu - 648043",manan.palan202@yahoo.in,6319868311,Chennai,Tamil Nadu,353281087446701,117.192.162.248|49.205.142.248|49.205.202.104|203.192.190.15|49.205.26.85,BSNL,False,,"13.091916,80.27926",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
121767955129,Lucky Sunder,45,"00, Dhaliwal Street, Hyderabad, Telangana - 538571",lucky.sunder239@yahoo.in,7115515499,Hyderabad,Telangana,356944102812437|353281088073423,192.168.1.94|192.168.1.253|192.168.1.253,BSNL,False,,"20.171323,76.630739",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
976747143800,Unnati Sidhu,61,"H.No. 06, Lad Street, Chennai, Tamil Nadu - 048701",unnati.sidhu829@yahoo.in,7102666336,Chennai,Tamil Nadu,356944104602907,203.192.188.176|203.192.141.198|117.192.155.189,Vi,False,,"13.085608,80.436997",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
665793473787,Nihal Pingle,43,"07/01, Menon Ganj, Kolkata, West Bengal - 465356",nihal.pingle847@gmail.com,9813895343,Kolkata,West Bengal,358755072159244,192.168.1.196|192.168.1.172|192.168.1.51|192.168.1.175|192.168.1.134,BSNL,False,,"19.69249,77.019166",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
330073989469,Eiravati Bandi,39,"072, Pau Road, Mumbai, Maharashtra - 123722",eiravati.bandi280@gmail.com,9820702705,Mumbai,Maharashtra,358755074379135,117.18.250.69|125.99.230.142|103.21.21.42|103.21.69.177,Vi,False,,"19.047051,72.899245",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
592799332381,Inaya Jha,52,"H.No. 612, Comar Path, Ahmedabad, Gujarat - 751770",inaya.jha183@yahoo.in,8718593722,Ahmedabad,Gujarat,356944107405886|352267119854511|356944103374442|865856032514991|356944107501366,192.168.1.41|192.168.1.57|192.168.1.236|192.168.1.212|103.248.122.242|103.248.156.198|117.196.133.106|49.207.103.78|103.248.234.139|103.21.180.202|103.21.132.55|117.18.121.108|125.99.30.253|103.21.117.17,BSNL,True,location_hopping|micro_sessions|device_cloning,"20.262999,76.961445",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
144412675516,Guneet Sandhu,38,"02, Khare Street, Hyderabad, Telangana - 889918",guneet.sandhu753@gmail.com,8592812862,Hyderabad,Telangana,358755075224740|353281089031952|865856031067857,192.168.1.222|192.168.1.234|192.168.1.197|192.168.1.37|192.168.1.252,Vi,False,,"20.404348,76.92802",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
091578436999,Lohit Ganesan,62,"H.No. 529, Srinivas Zila, Delhi, Delhi - 737456",lohit.ganesan831@yahoo.in,6857111219,Delhi,Delhi,358495098700641|352267115295198|358755076239037|352267117062345,203.122.246.127|117.97.105.16|117.97.14.227|125.99.27.12|125.99.165.149|103.21.56.187|117.18.103.160|125.99.104.252|203.122.74.209|106.51.120.160|203.122.205.130,Vi,True,unusual_timing|location_hopping|device_cloning,"28.61949,77.418885",0|1|2|3|4|5|22|23
413972887661,Yasti Dash,47,"50/991, Gara Path, Bangalore, Karnataka - 387252",yasti.dash785@gmail.com,7655748166,Bangalore,Karnataka,353281083081826,103.248.4.239|117.196.242.213|117.196.234.181|117.196.146.107|117.196.192.161,BSNL,False,,"12.934196,77.712299",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
906298824128,Pratyush Mukherjee,58,"98/84, Jani Chowk, Chennai, Tamil Nadu - 723874",pratyush.mukherjee873@gmail.com,8049731839,Chennai,Tamil Nadu,353281088638918,117.192.101.82|117.192.6.132|49.205.179.48|49.205.40.177|49.205.122.4,BSNL,False,,"13.050502,80.666581",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
674614992185,Jalsa Batta,60,"52, Jayaraman Marg, Chennai, Tamil Nadu - 387169",jalsa.batta948@gmail.com,8910019614,Chennai,Tamil Nadu,356944108320942,117.192.128.202|203.192.207.175|49.205.220.142|49.205.225.23,Jio,False,,"12.921295,80.256276",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
927094469953,Sarthak Sankaran,47,"056, Nagarajan Road, Pune, Maharashtra - 726912",sarthak.sankaran920@yahoo.in,7107738012,Pune,Maharashtra,352267118169365,192.168.1.178|192.168.1.130|192.168.1.106|192.168.1.121,BSNL,True,suspicious_destinations,"20.456456,77.020549",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
166780256881,Ronith Chhabra,66,"H.No. 79, Bobal Marg, Ahmedabad, Gujarat - 203098",ronith.chhabra290@gmail.com,6281789496,Ahmedabad,Gujarat,353281081828523,192.168.1.224|192.168.1.129|192.168.1.230,Jio,False,,"20.085901,77.092714",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
417908563410,Victor Mall,63,"42/740, Sundaram, Ahmedabad, Gujarat - 947501",victor.mall357@yahoo.in,8044977692,Ahmedabad,Gujarat,352267118837494|352267119580230,192.168.1.150|192.168.1.29|192.168.1.42|192.168.1.82,Airtel,False,,"19.866179,76.969768",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
943055253561,Amruta Menon,32,"00, Virk Marg, Chennai, Tamil Nadu - 392381",amruta.menon313@yahoo.in,8402119140,Chennai,Tamil Nadu,358495092558250,117.192.102.166|117.192.210.19,Vi,False,,"13.144495,80.214058",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
674079780659,Krisha Tiwari,30,"136, Sekhon Street, Bangalore, Karnataka - 887129",krisha.tiwari1@gmail.com,9290477792,Bangalore,Karnataka,356944106644459,117.196.70.206|117.196.75.100,Airtel,False,,"13.16651,77.70431",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
911527683197,Dalbir De,70,"H.No. 48, Agarwal Circle, Mumbai, Maharashtra - 829597",dalbir.de714@gmail.com,6742680505,Mumbai,Maharashtra,352267114151587|358495093644095,125.99.91.189|103.21.27.65|117.18.163.231,Airtel,False,,"19.059779,72.659457",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
193667678107,Naksh Dass,48,"12/747, Tiwari Circle, Mumbai, Maharashtra - 189087",naksh.dass326@yahoo.in,9345624329,Mumbai,Maharashtra,352267114763123,125.99.116.111|117.18.139.103|103.21.238.218|117.18.4.89,BSNL,False,,"19.397885,73.088684",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
393745908962,Teerth Chaudhary,57,"292, Dixit Zila, Delhi, Delhi - 811986",teerth.chaudhary256@yahoo.in,9627188127,Delhi,Delhi,358755072852614,203.122.131.155|203.122.242.84|117.97.15.88|203.122.64.47,BSNL,False,,"28.692052,77.102385",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
310912153624,Wyatt Goel,62,"658, Din Road, Pune, Maharashtra - 621230",wyatt.goel545@gmail.com,6124422011,Pune,Maharashtra,352267118039272,192.168.1.241|192.168.1.127|192.168.1.241|192.168.1.237,Airtel,False,,"20.206034,76.850542",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
947938283096,Siddharth Taneja,46,"H.No. 055, Ravi Circle, Mumbai, Maharashtra - 357815",siddharth.taneja434@yahoo.in,8777693304,Mumbai,Maharashtra,353281081627565,117.18.240.166|103.21.241.230|117.18.65.198|125.99.123.8,Vi,False,,"19.403489,72.968409",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
133390128691,Kashish Mallick,44,"34/810, Lanka Ganj, Pune, Maharashtra - 308139",kashish.mallick306@yahoo.in,7418319441,Pune,Maharashtra,358755071003552|353281086585275,192.168.1.156|192.168.1.84|192.168.1.28|192.168.1.119,Airtel,False,,"20.302213,77.1828",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
852638223446,Aarini Batta,61,"26/20, Char Nagar, Mumbai, Maharashtra - 921316",aarini.batta775@gmail.com,8245209847,Mumbai,Maharashtra,358495094114155,125.99.162.224|125.99.103.20|117.18.35.42,Vi,False,,"19.289922,72.976907",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
845741170643,Nidhi Sha,49,"H.No. 08, Andra Marg, Delhi, Delhi - 629122",nidhi.sha889@yahoo.in,8251657189,Delhi,Delhi,865856031023978,106.51.105.229|117.97.15.225|106.51.245.203|117.97.54.204|106.51.188.200,Jio,False,,"28.615712,77.152694",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
076793327167,Pushti Chander,19,"70/441, Ramanathan Chowk, Delhi, Delhi - 189496",pushti.chander449@gmail.com,6164612101,Delhi,Delhi,356944102788566|353281089710175,106.51.224.61|117.97.47.47|203.122.191.39|106.51.115.122,Vi,False,,"28.764862,76.753765",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
692089272778,Darpan Narayanan,26,"249, Saran, Mumbai, Maharashtra - 822607",darpan.narayanan611@yahoo.in,8483300113,Mumbai,Maharashtra,353281088155315|353281088824111|353281081011706|352267113634469|356944106901120,125.99.147.137|125.99.250.249|125.99.18.123|117.18.167.57|103.21.8.233,Vi,True,device_cloning|micro_sessions|suspicious_destinations,"18.749242,72.508245",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
901387183250,Jeremiah Thakkar,67,"04/87, Saini Path, Mumbai, Maharashtra - 840611",jeremiah.thakkar726@yahoo.in,8508883309,Mumbai,Maharashtra,865856032316923,103.21.149.196|103.21.215.252|125.99.219.62|117.18.242.229|117.18.239.113,BSNL,False,,"19.102213,72.853906",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
078112172676,Rayaan Kashyap,66,"955, Banerjee Zila, Bangalore, Karnataka - 209120",rayaan.kashyap468@yahoo.in,7570946363,Bangalore,Karnataka,353281089932616|865856032336069|865856032720197,49.207.194.218|49.207.44.170,BSNL,False,,"12.964464,77.617166",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
305807876103,Azaan Gola,49,"466, Nazareth Zila, Chennai, Tamil Nadu - 493906",azaan.gola468@gmail.com,9082688080,Chennai,Tamil Nadu,358495097450314,203.192.21.127|203.192.61.21,Airtel,False,,"13.062996,79.982282",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
871167855520,Om Narayan,65,"09/27, Goda Path, Bangalore, Karnataka - 295850",om.narayan252@yahoo.in,9353961348,Bangalore,Karnataka,353281084844731,103.248.203.85|103.248.209.208|117.196.194.108|49.207.130.146,Jio,False,,"12.952358,77.573071",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
158279793801,Neha Rai,57,"95/601, Dhar, Chennai, Tamil Nadu - 330232",neha.rai252@gmail.com,8615982739,Chennai,Tamil Nadu,353281081058464,117.192.207.31|49.205.198.222|117.192.139.86,Jio,False,,"13.218531,80.254007",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
501927299452,Kalpit Pillay,19,"H.No. 937, Dutta Marg, Chennai, Tamil Nadu - 244527",kalpit.pillay766@yahoo.in,7272579506,Chennai,Tamil Nadu,865856031982827,117.192.159.252|203.192.12.120,Airtel,False,,"13.047654,80.230726",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
598308038354,Kai Hans,68,"221, Sem Nagar, Ahmedabad, Gujarat - 690510",kai.hans392@gmail.com,8870462857,Ahmedabad,Gujarat,352267111367574,192.168.1.8|192.168.1.22|192.168.1.30|192.168.1.65|192.168.1.208,BSNL,False,,"20.020442,76.966104",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
437540125977,Chanakya Batta,37,"35/652, Nath Road, Pune, Maharashtra - 371660",chanakya.batta527@gmail.com,6297896844,Pune,Maharashtra,358495099039342|356944106900271,192.168.1.19|192.168.1.114|192.168.1.184,Airtel,False,,"19.675426,76.763041",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
969619766230,Dakshesh Chhabra,55,"71, Bajwa Zila, Mumbai, Maharashtra - 265131",dakshesh.chhabra607@yahoo.in,9813796826,Mumbai,Maharashtra,352267118686814|865856032761819,103.21.126.201|103.21.34.73,Vi,False,,"18.975648,72.868653",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
443078610710,Urvi Prasad,20,"28, Andra Chowk, Kolkata, West Bengal - 779686",urvi.prasad710@gmail.com,6793555263,Kolkata,West Bengal,352267117540556|358755079784018,192.168.1.3|192.168.1.232|192.168.1.220|192.168.1.92|192.168.1.57,Vi,False,,"20.147156,76.637755",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
781468634576,Geetika Som,55,"296, Viswanathan Zila, Pune, Maharashtra - 100568",geetika.som523@yahoo.in,8702272532,Pune,Maharashtra,358755071914065,192.168.1.112|192.168.1.170|192.168.1.34,Airtel,False,,"20.319059,76.66521",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
068179732386,Caleb Korpal,40,"H.No. 31, Sahni Nagar, Kolkata, West Bengal - 742498",caleb.korpal338@gmail.com,7638126361,Kolkata,West Bengal,358755077183859,192.168.1.230|192.168.1.85,Vi,False,,"19.96972,76.938851",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
014169637667,Pranit Kaur,33,"807, Mital Ganj, Delhi, Delhi - 028699",pranit.kaur371@yahoo.in,8049927133,Delhi,Delhi,865856033025548,203.122.230.6|203.122.151.197|203.122.169.166|106.51.213.112|117.97.74.6,Jio,False,,"28.741713,77.21587",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
226580623606,Aayush Gola,65,"67, Dugal Path, Hyderabad, Telangana - 511205",aayush.gola770@gmail.com,9106312301,Hyderabad,Telangana,356944104260465,192.168.1.142|192.168.1.146|192.168.1.112,Airtel,False,,"20.136874,77.025513",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
229361536808,Jai Arya,21,"325, Desai Ganj, Pune, Maharashtra - 635537",jai.arya5@gmail.com,7293212117,Pune,Maharashtra,358495093315908|353281084273169,192.168.1.242|192.168.1.254|192.168.1.241,BSNL,False,,"20.274074,76.613263",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
025148682351,Warjas Wason,28,"H.No. 00, Chand Marg, Chennai, Tamil Nadu - 008213",warjas.wason344@gmail.com,7411696623,Chennai,Tamil Nadu,358495098430792,117.192.73.187|49.205.254.28|49.205.185.101|117.192.138.248,Airtel,False,,"13.265177,80.396368",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
480398849453,Hredhaan Bhatti,72,"794, Bajwa Zila, Chennai, Tamil Nadu - 050134",hredhaan.bhatti371@yahoo.in,8474596654,Chennai,Tamil Nadu,356944105958710,49.205.239.86|203.192.128.101,BSNL,False,,"12.930552,80.512587",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
966169979982,Nachiket Sibal,49,"H.No. 54, Sethi Ganj, Hyderabad, Telangana - 648958",nachiket.sibal21@gmail.com,9668335835,Hyderabad,Telangana,358755079580900|352267112847370,192.168.1.218|192.168.1.131|192.168.1.39,BSNL,False,,"20.485875,76.967372",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
831984733323,Samuel Patel,21,"703, Chhabra Nagar, Bangalore, Karnataka - 961612",samuel.patel665@yahoo.in,8078238654,Bangalore,Karnataka,353281087241133|865856031450739,49.207.102.124|117.196.79.147|117.196.41.9,BSNL,False,,"13.161844,77.326975",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
286241250723,Warhi Kulkarni,31,"32/07, Kunda Nagar, Kolkata, West Bengal - 012984",warhi.kulkarni870@gmail.com,6296018582,Kolkata,West Bengal,358755073499728,192.168.1.113|192.168.1.55,Jio,False,,"20.476547,76.851985",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
787009211519,Daksha Sibal,24,"538, Kaul Circle, Bangalore, Karnataka - 674832",daksha.sibal106@gmail.com,6227378119,Bangalore,Karnataka,358495097284572,49.207.82.11|117.196.174.32|103.248.71.234|103.248.223.203,BSNL,False,,"12.859035,77.749911",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
264667636769,William Sunder,33,"19/09, Dyal Zila, Kolkata, West Bengal - 843124",william.sunder333@gmail.com,9467542325,Kolkata,West Bengal,353281087293939,192.168.1.130|192.168.1.127|192.168.1.114|192.168.1.235|192.168.1.216,Airtel,False,,"20.185234,77.150545",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
297362504343,Timothy Goda,50,"39/62, Raval Ganj, Delhi, Delhi - 151066",timothy.goda325@yahoo.in,9162480436,Delhi,Delhi,358495091597685,117.97.119.166|203.122.91.226,Airtel,False,,"29.262234,77.065132",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
945578107463,Chanchal Nadkarni,41,"96/669, Sarma Ganj, Mumbai, Maharashtra - 250249",chanchal.nadkarni648@gmail.com,6273256586,Mumbai,Maharashtra,865856038942970,125.99.181.118|117.18.151.124,Jio,False,,"19.06455,72.912085",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
365912013370,Abdul Krish,58,"90/90, Bhatnagar, Bangalore, Karnataka - 972674",abdul.krish920@yahoo.in,8350478315,Bangalore,Karnataka,358495097595466,117.196.194.251|49.207.214.5|49.207.13.163|117.196.218.96,BSNL,False,,"13.057862,77.375051",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
160460278930,Urvi Behl,33,"986, Rao Ganj, Mumbai, Maharashtra - 800804",urvi.behl244@yahoo.in,9319250788,Mumbai,Maharashtra,358495091760736,125.99.169.193|117.18.26.33|125.99.67.7,Airtel,True,suspicious_destinations|large_transfers|ip_hopping,"19.065302,72.748225",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
619916415960,Manya Wadhwa,37,"62, Ramakrishnan Chowk, Mumbai, Maharashtra - 906182",manya.wadhwa315@gmail.com,9922807390,Mumbai,Maharashtra,356944109653837,117.18.239.95|117.18.30.218|117.18.224.137|125.99.104.151,Jio,False,,"18.932695,72.527997",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
597043840067,Ishita Keer,72,"07, Mani Zila, Ahmedabad, Gujarat - 690890",ishita.keer638@gmail.com,8961710967,Ahmedabad,Gujarat,358755073189402,192.168.1.34|192.168.1.44|192.168.1.53|192.168.1.224,Airtel,False,,"19.964695,76.972595",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
140658363825,Idika Dar,41,"H.No. 105, Kumer Chowk, Delhi, Delhi - 529984",idika.dar358@gmail.com,9729943976,Delhi,Delhi,356944102184525,117.97.29.144|106.51.90.111|117.97.153.17|203.122.72.242,BSNL,False,,"28.269704,77.396021",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
612151893022,Yashvi Khare,49,"317, Sengupta Circle, Ahmedabad, Gujarat - 413956",yashvi.khare321@gmail.com,9702276911,Ahmedabad,Gujarat,358495092281119|352267116654803|865856031886047,192.168.1.169|192.168.1.217|192.168.1.156|192.168.1.144,Airtel,False,,"20.005267,77.0429",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
911779902939,Rayaan Tailor,71,"62/744, Sami Ganj, Ahmedabad, Gujarat - 913282",rayaan.tailor972@yahoo.in,9027179256,Ahmedabad,Gujarat,358495095553564,192.168.1.94|192.168.1.42|192.168.1.4|192.168.1.160,BSNL,False,,"19.933394,76.790787",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
219290229297,Barkha Sen,75,"H.No. 83, Taneja Marg, Ahmedabad, Gujarat - 851862",barkha.sen598@gmail.com,9918786919,Ahmedabad,Gujarat,353281089537540,192.168.1.103|192.168.1.62,BSNL,False,,"20.024832,76.755105",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
947964989433,Devika Bal,63,"H.No. 28, Batta Nagar, Hyderabad, Telangana - 408720",devika.bal927@yahoo.in,7299396356,Hyderabad,Telangana,352267113011700,192.168.1.107|192.168.1.247,Jio,False,,"19.983896,77.028813",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
720862584419,Lakshit Sood,57,"H.No. 989, Jaggi Marg, Pune, Maharashtra - 724112",lakshit.sood919@yahoo.in,8345084411,Pune,Maharashtra,358755079836631|358755073387535,192.168.1.239|192.168.1.201|192.168.1.246|192.168.1.156|192.168.1.9,BSNL,False,,"19.800017,76.931561",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
662952921873,Madhav Bhatnagar,61,"68/26, Khanna Zila, Hyderabad, Telangana - 604997",madhav.bhatnagar256@gmail.com,7096461042,Hyderabad,Telangana,353281088921871|353281089855926,192.168.1.100|192.168.1.215|192.168.1.189|192.168.1.137|192.168.1.34,Airtel,False,,"19.713361,77.091612",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
